pixel_id,easting,northing,elevation,aspect
433683,402925.29308015323,200366.84932041288,122.61,52.26
433684,402926.29308015323,200366.84932041288,122.51,61.07
433685,402927.29308015323,200366.84932041288,122.42,69.96
433686,402928.29308015323,200366.84932041288,122.29,73.45
433687,402929.29308015323,200366.84932041288,122.18,74.74
433688,402930.29308015323,200366.84932041288,122.09,79.25
433689,402931.29308015323,200366.84932041288,122.0,53.07
433690,402932.29308015323,200366.84932041288,121.93,65.04
433913,402915.29308015323,200365.84932041288,123.42,249.18
433914,402916.29308015323,200365.84932041288,123.45,184.4
433915,402917.29308015323,200365.84932041288,123.43,95.6
433916,402918.29308015323,200365.84932041288,123.33,93.9
433917,402919.29308015323,200365.84932041288,123.18,88.73
433918,402920.29308015323,200365.84932041288,123.1,76.33
433919,402921.29308015323,200365.84932041288,123.03,65.81
433920,402922.29308015323,200365.84932041288,122.93,68.43
433921,402923.29308015323,200365.84932041288,122.77,73.47
433922,402924.29308015323,200365.84932041288,122.68,69.23
433923,402925.29308015323,200365.84932041288,122.65,68.2
433924,402926.29308015323,200365.84932041288,122.55,78.69
433925,402927.29308015323,200365.84932041288,122.43,84.35
433926,402928.29308015323,200365.84932041288,122.32,79.9
433927,402929.29308015323,200365.84932041288,122.28,73.71
433928,402930.29308015323,200365.84932041288,122.19,75.46
433929,402931.29308015323,200365.84932041288,122.05,77.2
433930,402932.29308015323,200365.84932041288,121.92,81.65
434150,402915.29308015323,200364.84932041288,123.35,248.46
434151,402916.29308015323,200364.84932041288,123.44,236.31
434152,402917.29308015323,200364.84932041288,123.39,82.24
434153,402918.29308015323,200364.84932041288,123.3,76.29
434154,402919.29308015323,200364.84932041288,123.2,66.25
434155,402920.29308015323,200364.84932041288,123.12,63.75
434156,402921.29308015323,200364.84932041288,123.02,67.01
434157,402922.29308015323,200364.84932041288,122.97,69.52
434158,402923.29308015323,200364.84932041288,122.84,69.45
434159,402924.29308015323,200364.84932041288,122.74,69.08
434160,402925.29308015323,200364.84932041288,122.67,77.97
434161,402926.29308015323,200364.84932041288,122.58,82.21
434162,402927.29308015323,200364.84932041288,122.4,77.2
434163,402928.29308015323,200364.84932041288,122.35,74.48
434164,402929.29308015323,200364.84932041288,122.21,82.78
434165,402930.29308015323,200364.84932041288,122.16,87.07
434166,402931.29308015323,200364.84932041288,122.04,84.09
434167,402932.29308015323,200364.84932041288,121.98,84.63
434168,402933.29308015323,200364.84932041288,121.92,70.78
